Symptoms,Disease,Causes,Treatment
"a runny nose or sneezing
pain or tenderness around your cheeks, eyes or forehead
coughing, wheezing or breathlessness
itchy skin or a raised rash (hives)
diarrhoea
feeling or being sick
swollen eyes, lips, mouth or throat",Allergies,"tree and grass pollen (hay fever)
house dust mites
foods, such as peanuts, milk and eggs (food allergy)
animal fur, particularly from pets like cats and dogs
insect stings, such as bee and wasp stings
certain medicines","trying to avoid the thing you're allergic to whenever possible
medicines for mild allergic reactions like antihistamines, steroid tablets and steroid creams
emergency medicines called adrenaline auto-injectors, such as an EpiPen, for severe allergic reactions
desensitisation (immunotherapy) for severe allergic reactions – this involves carefully exposing you to the thing you're allergic to over time, so your body gradually gets used to it and does not react so badly (this should only be done by a medical professional)"
"a whistling sound when breathing (wheezing) breathlessness
a tight chest, which may feel like a band is tightening around it
coughing",Asthma,"Asthma is caused by swelling (inflammation) of the breathing tubes that carry air in and out of the lungs. This makes the tubes highly sensitive, so they temporarily narrow.","Asthma is usually treated by using an inhaler, a small device that lets you breathe in medicines."
"a very high temperature or feeling hot or shivery
aching muscles
headache
a cough or shortness of breath",Bird-flu,"Bird flu is spread by close contact with an infected bird (dead or alive).

This includes:

touching infected birds
touching droppings or bedding
killing or preparing infected poultry for cooking
Markets where live birds are sold can also be a source of bird flu.","you'll be advised to stay at home, or you'll be cared for in hospital in isolation from other patients.
You may be given an antiviral medicine such as oseltamivir (Tamiflu) or zanamivir (Relenza)."
"persistent bone pain that gets worse over time and continues into the night
swelling and redness (inflammation) over a bone, which can make movement difficult if the affected bone is near a joint
a noticeable lump over a bone
a weak bone that breaks (fractures) more easily than normal
problems moving around – for example, walking with a limp",Bone Cancer, ,"Treatment for bone cancer depends on the type of bone cancer you have and how far it has spread.

Most people have a combination of:

surgery to remove the section of cancerous bone – it's often possible to reconstruct or replace the bone that's been removed, but amputation is sometimes necessary
chemotherapy – treatment with powerful cancer-killing medicine
radiotherapy – where radiation is used to destroy cancerous cells"
"tiredness
swollen ankles, feet or hands
shortness of breath
feeling sick
blood in your pee (urine)",Kidney Disease,"Chronic kidney disease is usually caused by other conditions that put a strain on the kidneys. Often it's the result of a combination of different problems.

CKD can be caused by:

high blood pressure – over time, this can put strain on the small blood vessels in the kidneys and stop the kidneys working properly
diabetes – too much glucose in your blood can damage the tiny filters in the kidneys
high cholesterol – this can cause a build-up of fatty deposits in the blood vessels supplying your kidneys, which can make it harder for them to work properly
kidney infections
glomerulonephritis – kidney inflammation
autosomal dominant polycystic kidney disease – an inherited condition where growths called cysts develop in the kidneys
blockages in the flow of urine – for example, from kidney stones that keep coming back, or an enlarged prostate
long-term, regular use of certain medicines – such as lithium and non-steroidal anti-inflammatory drugs (NSAIDs)","Most kidney stones are small enough to be passed in your pee, and it may be possible to treat the symptoms at home with medication.

Larger stones may need to be broken up or removed with surgery."
"Vaginal Bleeding
abdominal cramp or pelvic cramp
menstrual cramps.
back pain or pain in the lower abdomen
breast tenderness
Bleeding that progresses from light to heavy",miscarriage,"Most miscarriages occur due to genetic problems in the fetus. These abnormalities prevent the fetus from developing normally.
Hormonal issues in the mother, such as polycystic ovary syndrome (PCOS) or thyroid problems, can contribute to miscarriage.
Certain infections, like rubella, can increase the risk of miscarriage.
Structural problems in the uterus can make it difficult for a pregnancy to be carried to term.
Smoking, alcohol, and drug use can increase the risk of miscarriage.
The risk of miscarriage increases with maternal age, especially after the age of 35.
Conditions like diabetes and autoimmune disorders can increase the risk of miscarriage.","Sometimes, the body expels the pregnancy naturally. In this case, you may not need any medical intervention but should still be monitored by a healthcare provider.
Your doctor may prescribe medication to help your body expel the pregnancy tissue.
If you've experienced multiple miscarriages or have other risk factors, your doctor may recommend further testing to identify any underlying causes and develop a plan for future pregnancies.
If the miscarriage is incomplete or if there are complications, a surgical procedure known as a dilation and curettage (D&C) may be performed.
Coping with a miscarriage can be emotionally challenging. It's essential to seek emotional support from loved ones, support groups, or mental health professionals."
"a high temperature
difficulty breathing – babies may make grunting noises
being sleepier than normal or difficult to wake
blue, grey, pale or blotchy skin, lips or tongue – on brown or black skin this may be noticeable under the nails or around the eyes
a rash that looks like small bruises or bleeding under the skin and does not disappear when you press a glass against it
a headache
a sore throat
swollen or painful joints",Haemophilus influenzae type b (Hib),"infection of the lining of the brain and spinal cord (meningitis)
a severe immune reaction (sepsis)
infection of part of your windpipe (epiglottitis)
infection of the lungs (pneumonia)
You can become very ill with these conditions and will need treatment in hospital.","Vaccination is the best way to prevent serious Hib infections.
Vaccines that protect against Hib are offered to babies as part of the NHS vaccination schedule.

The main treatment for a Hib infection is antibiotics. You'll usually need to be treated in hospital.
You may be given oxygen and other medicines such as steroids, depending on your symptoms. Other treatments, including surgery, may also be needed.
If you have a Hib infection, your close contacts, such as anyone you live with, may be offered antibiotics to stop them getting ill.

"
"a sudden high temperature
an aching body
feeling tired or exhausted
a dry cough
a sore throat
a headache
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick",Influenza (Flu),"Influenza is primarily caused by influenza viruses, which belong to the Orthomyxoviridae family.
The flu is primarily spread from person to person through respiratory droplets when an infected person coughs, sneezes, or talks.","Flu will often get better on its own, but it can make some people seriously ill. It's important to get the flu vaccine if you're advised to.

rest and sleep

keep warm

take paracetamol or ibuprofen to lower your temperature and treat aches and pains

drink plenty of water to avoid dehydration (your pee should be light yellow or clear)"
"feeling very thirsty
peeing more frequently than usual, particularly at night
feeling very tired
weight loss and loss of muscle bulk
itching around the penis or vagina, or frequent episodes of thrush
blurred vision",Diabetes,"are living with overweight or obesity
do not have a healthy diet
have a family history of type 2 diabetes
are of Asian, Black African or African Caribbean origin
take certain medicines such as steroids for a long time
have high blood pressure
have had gestational diabetes during pregnancy
Diabetes can damage the nerves in your feet and cause a loss of feeling. It can also reduce the blood supply to your feet.
If you have diabetes, your eyes are at risk from diabetic retinopathy, a condition that can lead to sight loss if it's not treated.","Medications (e.g., metformin medicine), diet control, exercise 
Regular monitoring of blood glucose levels is essential for individuals with Type 1 diabetes.
Many individuals with Type 1 diabetes use carbohydrate counting to help match their insulin doses to the amount of carbohydrates they consume.
A balanced diet is important for people with Type 1 diabetes. Meeting with a registered dietitian.
Regular physical activity is beneficial for managing blood sugar levels.
Stress, illness, and changes in routine can affect blood sugar levels.
Insulin Therapy"
"peeing more than usual, particularly at night
feeling thirsty all the time
feeling very tired
losing weight without trying to
itching around your penis or vagina, or repeatedly getting thrush
cuts or wounds taking longer to heal
blurred vision","Type 2 diabetes
","heart disease and stroke
loss of feeling and pain (nerve damage)
foot problems – like sores and infections
vision loss and blindness
miscarriage and stillbirth
problems with your kidneys
sexual problems – like problems getting or keeping an erection","Controlling your blood sugar level and having regular diabetes check-ups is the best way to lower your risk of complications.
Medications (e.g., metformin), diet control, exercise
Metformin is the most common medicine for type 2 diabetes. It can help keep your blood sugar at a healthy level.
You'll need insulin if other medicines no longer work well enough to keep your blood sugar within a healthy range."
"blood pressure is high
Severe headaches
headaches in back of the head
acute hypertension.
nosebleeds
experience shortness of breath
chest pain or discomfort during physical exertion",Hypertension (High Blood Pressure),"are overweight
eat too much salt and do not eat enough fruit and vegetables
do not do enough exercise
drink too much alcohol or coffee (or other caffeine-based drinks)
smoke
have a lot of stress
are over 65
have a relative with high blood pressure
are of black African or black Caribbean descent
live in a deprived area","cut your salt intake to less than 6g (0.2oz) a day, which is about a teaspoonful – find out how you can reduce the amount of salt in your diet
eat a low-fat, balanced diet – including plenty of fresh fruit and vegetables; get tips on eating more healthily
be active – read some tips about getting more exercise
cut down on alcohol – get tips on cutting down, including downloading a drinks diary and keeping track of your drinking
lose weight – find out what your ideal weight is using the BMI healthy weight calculator and read advice about losing weight if you're overweight
drink less caffeine – found in coffee, tea and cola
stop smoking – get help quitting

if you're under 55 years of age, or you're any age and have type 2 diabetes – you'll usually be offered an ACE inhibitor or an angiotensin-2 receptor blocker (ARB)
if you're aged 55 or older, or you're any age and of African or Caribbean origin, and you do not have type 2 diabetes – you'll usually be offered a calcium channel blocker"
"headaches
seizures (fits)
persistently feeling sick (nausea), being sick (vomiting) and drowsiness
mental or behavioural changes, such as memory problems or changes in personality
progressive weakness or paralysis on one side of the body
vision or speech problems",Brain Tumours,"The cause of most brain tumours is unknown, but there are several risk factors that may increase your chances of developing a brain tumour.","Treatments for brain tumours include:

steroids
medicines to help with symptoms
surgery
radiotherapy
chemotherapy"
"Coughing, chest pain and breathlessness
Changes in bowel habits
tummy discomfort
blood in your poo
pain in your stomach or bottom (anus)
your poo is loose, pale or looks greasy
bloating for 3 weeks or more.
blood in your urine
vaginal bleeding between periods
vaginal bleeding a year or more after the menopause
bleeding from your bottom
blood when you cough
blood in my vomit
lump in my breast 
have a mole
lost a lot of weight
pain anywhere in your tummy or back
",Cancer,"Genetic Factors: Inherited mutations can increase cancer risk.
DNA Mutations: Acquired mutations in DNA over time.
Carcinogens: Exposure to cancer-causing substances.
Tobacco: Leading cause of lung and oral cancers.
Diet: Poor dietary choices, including processed foods.
Obesity: Increased risk for multiple cancers.
Physical Inactivity: Sedentary lifestyle linked to cancer risk.
Alcohol: Excessive consumption raises cancer risk.
Infections: HPV, hepatitis B and C can lead to cancer.
Radiation: Exposure to ionizing radiation increases risk.
Hormones: Hormone-related factors impact breast and ovarian cancer risk.
Chronic Inflammation: Long-term inflammation associated with cancer risk",
